Group,Subject,c,gamma_1,gamma_2,gamma_3,gamma_4,R2,AC_t1,AC_t2,W,Method
1,1,18.848,0.000,-1.064,0.000,-0.744,0.642,0.293,0.354,0.026,"OLS"
1,2,24.141,0.000,-1.488,0.000,-0.591,0.878,0.000,0.000,0.160,"OLS"
1,3,13.666,0.000,-3.993,3.463,0.000,0.869,0.137,0.331,0.382,"OLS"
1,4,2.140,0.605,-0.987,1.064,-0.664,0.573,0.233,0.163,0.188,"OLS"
1,5,2.683,0.432,-3.620,3.733,0.000,0.853,0.125,0.146,0.068,"IV"
1,6,10.044,0.000,0.000,0.000,0.000,0.754,0.688,0.836,0.832,"OLS"
1,7,9.160,0.482,-0.488,0.000,-0.657,0.393,0.144,0.276,0.000,"IV"
1,8,8.912,0.000,-0.955,0.656,0.000,0.747,0.016,0.068,0.636,"OLS"
1,9,10.167,0.000,0.000,0.000,0.000,0.700,0.437,0.113,0.708,"OLS"
1,10,3.869,0.887,-0.265,0.000,-0.533,0.887,0.335,0.625,0.021,"OLS"
2,1,3.155,0.000,0.000,0.000,0.000,0.605,0.000,0.000,0.871,"OLS"
2,2,4.702,0.479,0.000,0.000,0.000,0.508,0.447,0.618,0.895,"OLS"
2,3,-0.205,1.052,0.000,0.000,-1.118,0.797,0.003,0.016,0.120,"OLS"
2,4,8.181,0.312,-1.860,1.668,-0.790,0.498,0.005,0.001,0.442,"OLS"
2,5,7.179,0.000,0.000,0.000,0.000,0.653,0.350,0.027,0.679,"OLS"
2,6,0.490,0.329,0.612,0.000,-0.990,0.428,0.160,0.288,0.104,"IV"
2,7,5.996,0.000,0.000,0.000,0.000,0.463,0.696,0.849,0.716,"OLS"
2,8,11.546,0.000,-1.556,1.192,-1.023,0.800,0.007,0.008,0.025,"OLS"
2,9,8.016,0.309,-0.807,0.517,-0.397,0.849,0.293,0.004,0.843,"OLS"
2,10,6.948,0.000,-1.197,1.214,0.000,0.589,0.309,0.790,0.650,"OLS"
3,1,-6.052,0.596,1.125,0.000,-0.309,0.667,0.812,0.256,0.798,"IV"
3,2,8.747,0.000,-1.112,1.109,0.000,0.923,0.102,0.289,0.231,"OLS"
3,3,-8.195,0.000,0.000,1.109,0.000,0.694,0.074,0.198,0.711,"IV"
3,4,10.013,0.000,0.000,0.000,0.000,0.931,0.000,0.005,0.732,"OLS"
3,5,1.642,0.358,-0.728,0.940,-0.235,0.494,0.583,0.523,0.423,"OLS"
3,6,5.642,0.319,0.000,0.000,-0.365,0.731,0.622,0.873,0.880,"OLS"
3,7,16.115,0.000,-0.844,0.000,0.000,0.429,0.725,0.444,0.719,"OLS"
3,8,-0.419,0.000,0.000,0.805,0.000,0.227,0.857,0.244,0.991,"OLS"
3,9,3.588,0.538,0.000,0.000,0.000,0.303,0.753,0.439,0.014,"OLS"
3,10,6.337,0.000,0.000,0.000,0.000,0.000,0.656,0.996,0.000,"OLS"
4,1,7.247,0.000,0.000,0.000,0.000,0.000,0.067,0.004,0.000,"OLS"
4,2,9.447,0.000,0.000,0.000,0.000,0.497,0.037,0.081,0.915,"OLS"
4,3,0.616,-0.088,-0.365,0.954,-0.361,0.911,0.059,0.032,0.141,"OLS"
4,5,4.315,0.000,0.000,0.000,0.000,0.480,0.024,0.064,0.449,"OLS"
4,6,10.511,0.593,0.000,-0.620,-0.847,0.685,0.018,0.062,0.002,"OLS"
4,7,8.945,0.000,0.000,0.000,0.000,0.000,0.731,0.039,0.000,"OLS"
4,9,11.812,0.000,-1.412,1.058,0.000,0.445,0.324,0.137,0.974,"OLS"
4,10,9.243,0.000,-1.762,1.596,0.000,0.871,0.002,0.004,0.002,"OLS"
